Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
12000.0,1.0,1.0,1.0,20.0,8760.0,438.0,1.0,23198.562,26850.99
,,,,,,438.0,2.0,23090.427,25167.93
,,,,,,438.0,3.0,22618.549,24746.43
,,,,,,438.0,4.0,22491.546,24736.04
,,,,,,438.0,5.0,22617.659,25198.92
,,,,,,438.0,6.0,22909.846,26401.83
,,,,,,438.0,7.0,23433.967,28075.21
,,,,,,438.0,8.0,24304.298,29866.17
,,,,,,438.0,9.0,24539.436,31342.85
,,,,,,438.0,10.0,25193.319,33057.78
,,,,,,438.0,11.0,25770.84,33841.82
,,,,,,438.0,12.0,25612.42,35448.46
,,,,,,438.0,13.0,25449.817,36666.01
,,,,,,438.0,14.0,25215.124,35283.13
,,,,,,438.0,15.0,24869.181,33889.09
,,,,,,438.0,16.0,24991.823,33087.0
,,,,,,438.0,17.0,25703.111,34308.03
,,,,,,438.0,18.0,26172.408,35260.46
,,,,,,438.0,19.0,25947.416,39228.08
,,,,,,438.0,20.0,25326.107,39258.62
,,,,,,,21.0,25089.634,38542.39
,,,,,,,22.0,24566.403,37414.65
,,,,,,,23.0,23547.264,35535.69
,,,,,,,24.0,23010.594,32599.07
,,,,,,,25.0,22465.113,28721.56
,,,,,,,26.0,22235.582,28154.73
,,,,,,,27.0,22050.017,27662.03
,,,,,,,28.0,22152.901,28424.89
,,,,,,,29.0,22425.508,28986.2
,,,,,,,30.0,22708.617,30427.67
,,,,,,,31.0,23209.331,32476.33
,,,,,,,32.0,23297.708,35853.43
,,,,,,,33.0,23464.761,38297.52
,,,,,,,34.0,24232.92,39722.61
,,,,,,,35.0,24935.041,40143.5
,,,,,,,36.0,25062.044,41605.59
,,,,,,,37.0,24655.314,41328.79
,,,,,,,38.0,24450.703,38659.52
,,,,,,,39.0,24564.712,37238.85
,,,,,,,40.0,25114.999,37377.9
,,,,,,,41.0,27027.253,39792.37
,,,,,,,42.0,28005.007,42583.65
,,,,,,,43.0,28069.265,42204.04
,,,,,,,44.0,27575.315,38058.3
