Time_Index,res_hydro_1,natural_gas_2,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,fixed_offshore_wind_2,float_offshore_wind_2,battery_2,ror_hydro_2,pumped_hydro_2,fusion_2,perfect_gen,newBESS_2,fusion_new_2
1,0.262,1,1,0,0,0,0.7471,0.9014,0.9014,1,0.552743642,1,1,1,1,1
2,0.262,1,1,0,0,0,0.4474,0.2906,0.2906,1,0.552743642,1,1,1,1,1
3,0.262,1,1,0,0,0,0.7038,0.6483,0.6483,1,0.552743642,1,1,1,1,1
4,0.262,1,1,0,0,0,0.3133,0.2803,0.2803,1,0.552743642,1,1,1,1,1
5,0.262,1,1,0,0,0,0.4587,0.565,0.565,1,0.552743642,1,1,1,1,1
6,0.262,1,1,0,0,0,0.2539,0.336,0.336,1,0.552743642,1,1,1,1,1
7,0.262,1,1,0,0,0,0.2988,0.8764,0.8764,1,0.552743642,1,1,1,1,1
8,0.262,1,1,0.009597,0.005499819,0.005056881,0.3744,0.0998,0.0998,1,0.552743642,1,1,1,1,1
9,0.262,1,1,0.125964,0.072187062,0.066373338,0.063,0.75,0.75,1,0.552743642,1,1,1,1,1
10,0.262,1,1,0.286159,0.163991119,0.150783781,0.3592,0.8339,0.8339,1,0.552743642,1,1,1,1,1
11,0.262,1,1,0.453387,0.259825627,0.238900073,0.2067,0.3291,0.3291,1,0.552743642,1,1,1,1,1
12,0.262,1,1,0.53524,0.306733692,0.282030308,0.774,0.8782,0.8782,1,0.552743642,1,1,1,1,1
13,0.262,1,1,0.517283,0.29644295,0.27256835,0.5609,0.1675,0.1675,1,0.552743642,1,1,1,1,1
14,0.262,1,1,0.410183,0.235066412,0.216134888,0.659,0.4561,0.4561,1,0.552743642,1,1,1,1,1
15,0.262,1,1,0.223333,0.127986988,0.117679312,0.1919,0.1804,0.1804,1,0.552743642,1,1,1,1,1
16,0.262,1,1,0.085949,0.049255388,0.045288512,0.1563,0.2333,0.2333,1,0.552743642,1,1,1,1,1
17,0.262,1,1,0.006801,0.003897496,0.003583604,0.5756,0.7457,0.7457,1,0.552743642,1,1,1,1,1
18,0.262,1,1,0,0,0,0.5814,0.483,0.483,1,0.552743642,1,1,1,1,1
19,0.262,1,1,0,0,0,0.4677,0.0988,0.0988,1,0.552743642,1,1,1,1,1
20,0.262,1,1,0,0,0,0.7333,0.6706,0.6706,1,0.552743642,1,1,1,1,1
21,0.262,1,1,0,0,0,0.313,0.8519,0.8519,1,0.552743642,1,1,1,1,1
22,0.262,1,1,0,0,0,0.5662,0.7798,0.7798,1,0.552743642,1,1,1,1,1
23,0.262,1,1,0,0,0,0.1959,0.1113,0.1113,1,0.552743642,1,1,1,1,1
24,0.262,1,1,0,0,0,0.454,0.1947,0.1947,1,0.552743642,1,1,1,1,1
25,0.262,1,1,0,0,0,0.2106,0.1318,0.1318,1,0.552743642,1,1,1,1,1
26,0.262,1,1,0,0,0,0.5338,0.735,0.735,1,0.552743642,1,1,1,1,1
27,0.262,1,1,0,0,0,0.3239,0.1614,0.1614,1,0.552743642,1,1,1,1,1
28,0.262,1,1,0,0,0,0.25,0.8098,0.8098,1,0.552743642,1,1,1,1,1
29,0.262,1,1,0,0,0,0.5294,0.6065,0.6065,1,0.552743642,1,1,1,1,1
30,0.262,1,1,0,0,0,0.4786,0.555,0.555,1,0.552743642,1,1,1,1,1
31,0.262,1,1,0,0,0,0.3669,0.8727,0.8727,1,0.552743642,1,1,1,1,1
32,0.262,1,1,0.010601,0.006075188,0.005585912,0.1053,0.7603,0.7603,1,0.552743642,1,1,1,1,1
33,0.262,1,1,0.113321,0.06494165,0.05971145,0.2595,0.2736,0.2736,1,0.552743642,1,1,1,1,1
34,0.262,1,1,0.274023,0.157036258,0.144389042,0.1462,0.4849,0.4849,1,0.552743642,1,1,1,1,1
35,0.262,1,1,0.379622,0.217552608,0.200031592,0.3724,0.3822,0.3822,1,0.552743642,1,1,1,1,1
36,0.262,1,1,0.409466,0.234655515,0.215757085,0.1971,0.0705,0.0705,1,0.552743642,1,1,1,1,1
37,0.262,1,1,0.473518,0.271362238,0.249507562,0.5972,0.9041,0.9041,1,0.552743642,1,1,1,1,1
38,0.262,1,1,0.339865,0.194768788,0.179082712,0.6648,0.5493,0.5493,1,0.552743642,1,1,1,1,1
39,0.262,1,1,0.241128,0.138184892,0.127055908,0.8243,0.7556,0.7556,1,0.552743642,1,1,1,1,1
40,0.262,1,1,0.107247,0.061460781,0.056510919,0.1073,0.0574,0.0574,1,0.552743642,1,1,1,1,1
41,0.262,1,1,0.007196,0.004123862,0.003791738,0.7248,0.828,0.828,1,0.552743642,1,1,1,1,1
42,0.262,1,1,0,0,0,0.7827,0.901,0.901,1,0.552743642,1,1,1,1,1
43,0.262,1,1,0,0,0,0.8065,0.8221,0.8221,1,0.552743642,1,1,1,1,1
44,0.262,1,1,0,0,0,0.18,0.2681,0.2681,1,0.552743642,1,1,1,1,1
45,0.262,1,1,0,0,0,0.2641,0.0753,0.0753,1,0.552743642,1,1,1,1,1
46,0.262,1,1,0,0,0,0.7333,0.8979,0.8979,1,0.552743642,1,1,1,1,1
47,0.262,1,1,0,0,0,0.4748,0.2009,0.2009,1,0.552743642,1,1,1,1,1
48,0.262,1,1,0,0,0,0.2133,0.2116,0.2116,1,0.552743642,1,1,1,1,1
49,0.262,1,1,0,0,0,0.839,0.9035,0.9035,1,0.552743642,1,1,1,1,1
50,0.262,1,1,0,0,0,0.5752,0.4556,0.4556,1,0.552743642,1,1,1,1,1
